session_date,observer_id,session_id,location_id,participant_id,Gender,session_start,session_end,observer_session_task id,What,start_time,end_time,elapsed_time,total_time,total_time(fixed_sec),Who,How,How_(subcategories),Where,ended_by,multi_with,num_of_multitask_fragments,num_of_tasks_in_multi_1,multi_task_id_1,multi_start_1,multi_end_1,num_of_tasks_in_multi_2,multi_task_id_2,multi_start_2,multi_end_2,num_of_tasks_in_multi_3,multi_task_id_3,multi_start_3,multi_end_3,num_of_tasks_in_multi_4,multi_task_id_4,multi_start_4,multi_end_4,total_overlapping_time,is_interrupting_task?,interrupted_by,num_of_interrupts,int_task_id_1,int_start_1,int_end_1,active_1,active_2,inactive_1,is_session_complete?
13-Jul-22,10040,10733,Season 15 Episode 10,Archie Morris,M,13:44:03,14:33:59,10040_10733_1,Off-Screen,13:44:03,13:45:04,0:01:01,0:01:01,61,0,0,0,Off-Screen,10040_10733_2,,0,,,,,,,,,,,,,,,,,0:00:00,FALSE,,0,,,,0:01:01,,,TRUE
13-Jul-22,10040,10733,Season 15 Episode 10,Archie Morris,M,13:44:03,14:33:59,10040_10733_2,Social,13:45:04,13:45:14,0:00:10,0:00:10,10,Other,Talking,0,Community,10040_10733_3,,0,,,,,,,,,,,,,,,,,0:00:00,FALSE,,0,,,,0:00:10,,,TRUE
13-Jul-22,10040,10733,Season 15 Episode 10,Archie Morris,M,13:44:03,14:33:59,10040_10733_3,Social,13:45:14,13:45:25,0:00:11,0:00:11,11,Doctor(s),Talking,0,Community,10040_10733_4,,0,,,,,,,,,,,,,,,,,0:00:00,FALSE,,0,,,,0:00:11,,,TRUE
13-Jul-22,10040,10733,Season 15 Episode 10,Archie Morris,M,13:44:03,14:33:59,10040_10733_4,Social,13:45:25,13:45:36,0:00:11,0:00:11,11,Other,Talking,0,Community,10040_10733_5,,0,,,,,,,,,,,,,,,,,0:00:00,FALSE,,0,,,,0:00:11,,,TRUE
13-Jul-22,10040,10733,Season 15 Episode 10,Archie Morris,M,13:44:03,14:33:59,10040_10733_5,Social,13:45:36,13:45:47,0:00:11,0:00:11,11,Doctor(s),Talking,0,Community,10040_10733_6,,0,,,,,,,,,,,,,,,,,0:00:00,FALSE,,0,,,,0:00:11,,,TRUE
13-Jul-22,10040,10733,Season 15 Episode 10,Archie Morris,M,13:44:03,14:33:59,10040_10733_6,Off-Screen,13:45:47,13:46:39,0:00:52,0:00:52,52,0,0,0,Off-Screen,10040_10733_7,,0,,,,,,,,,,,,,,,,,0:00:00,FALSE,,0,,,,0:00:52,,,TRUE
13-Jul-22,10040,10733,Season 15 Episode 10,Archie Morris,M,13:44:03,14:33:59,10040_10733_7,Social,13:46:39,13:46:43,0:00:04,0:00:04,4,Doctor(s),Talking,0,Hospital,10040_10733_8,,0,,,,,,,,,,,,,,,,,0:00:00,FALSE,,0,,,,0:00:04,,,TRUE
13-Jul-22,10040,10733,Season 15 Episode 10,Archie Morris,M,13:44:03,14:33:59,10040_10733_8,Off-Screen,13:46:43,13:46:47,0:00:04,0:00:04,4,0,0,0,Off-Screen,10040_10733_9,,0,,,,,,,,,,,,,,,,,0:00:00,FALSE,,0,,,,0:00:04,,,TRUE
13-Jul-22,10040,10733,Season 15 Episode 10,Archie Morris,M,13:44:03,14:33:59,10040_10733_9,Professional Communication,13:46:47,13:46:51,0:00:04,0:00:04,4,Other,Talking,0,Hospital,10040_10733_10,,0,,,,,,,,,,,,,,,,,0:00:00,FALSE,,0,,,,0:00:04,,,TRUE
13-Jul-22,10040,10733,Season 15 Episode 10,Archie Morris,M,13:44:03,14:33:59,10040_10733_10,Professional Communication,13:46:51,13:47:05,0:00:14,0:00:14,14,Doctor(s),Talking,0,Hospital,10040_10733_11,,0,,,,,,,,,,,,,,,,,0:00:00,FALSE,,0,,,,0:00:14,,,TRUE
13-Jul-22,10040,10733,Season 15 Episode 10,Archie Morris,M,13:44:03,14:33:59,10040_10733_11,Direct Care,13:47:05,13:47:19,0:00:14,0:00:14,14,Patient,Talking,0,Hospital,10040_10733_12,,0,,,,,,,,,,,,,,,,,0:00:00,FALSE,,0,,,,0:00:14,,,TRUE
