session date,observer_id,session id,location id,participant_id,Gender,session start,session end,observer/session/task id,What,start time,end time,elapsed time,total time,total_time(fixed_sec),Who,How,Where,ended by,multi with,num_of_multitask_fragments,num of tasks in multi 1,multi task id 1,multi start 1,multi end 1,num of tasks in multi 2,multi task id 2,multi start 2,multi end 2,num of tasks in multi 3,multi task id 3,multi start 3,multi end 3,total overlapping time,is interrupting task?,interrupted by,num_of_interrupts,int task id 1,int start 1,int end 1,active 1,active 2,inactive 1,is session complete?
8/4/20,4,109,GA 16.4,Alex K ,M,15:37:11,16:19:24,4_109_1685,Off-Screen,15:37:11,15:39:12,0:02:01,0:02:01,121,0,0,Off-Screen,4_109_1686,,0,,,,,,,,,,,,,0:00:00,FALSE,,0,,,,0:02:01,,,TRUE
8/4/20,4,109,GA 16.4,Alex K ,M,15:37:11,16:19:24,4_109_1686,Professional Communication,15:39:12,15:39:27,0:00:15,0:00:15,15,Doctor(s),Talking,Community,4_109_1687,,0,,,,,,,,,,,,,0:00:00,FALSE,,0,,,,0:00:15,,,TRUE
8/4/20,4,109,GA 16.4,Alex K ,M,15:37:11,16:19:24,4_109_1687,Off-Screen,15:39:27,15:42:36,0:03:09,0:03:09,189,0,0,Off-Screen,4_109_1688,,0,,,,,,,,,,,,,0:00:00,FALSE,,0,,,,0:03:09,,,TRUE
8/4/20,4,109,GA 16.4,Alex K ,M,15:37:11,16:19:24,4_109_1688,In Transit,15:42:36,15:43:08,0:00:32,0:00:32,32,0,0,Hospital,user,4_109_1689,1,2,4_109_1689,15:42:38,15:43:08,,,,,,,,,0:00:30,FALSE,,0,,,,0:00:32,,,TRUE
8/4/20,4,109,GA 16.4,Alex K ,M,15:37:11,16:19:24,4_109_1689,Professional Communication,15:42:38,15:43:16,0:00:38,0:00:38,38,Doctor(s),Talking,Hospital,4_109_1690,4_109_1688,1,2,4_109_1688,15:42:38,15:43:08,,,,,,,,,0:00:30,FALSE,,0,,,,0:00:38,,,TRUE
8/4/20,4,109,GA 16.4,Alex K ,M,15:37:11,16:19:24,4_109_1690,Off-Screen,15:43:16,15:49:47,0:06:31,0:06:31,391,0,0,Off-Screen,4_109_1691,,0,,,,,,,,,,,,,0:00:00,FALSE,,0,,,,0:06:31,,,TRUE
8/4/20,4,109,GA 16.4,Alex K ,M,15:37:11,16:19:24,4_109_1691,Professional Communication,15:49:47,15:50:18,0:00:31,0:00:31,31,Doctor(s),Talking,Hospital,4_109_1693,4_109_1692,1,2,4_109_1692,15:50:10,15:50:18,,,,,,,,,0:00:08,FALSE,,0,,,,0:00:31,,,TRUE
8/4/20,4,109,GA 16.4,Alex K ,M,15:37:11,16:19:24,4_109_1692,In Transit,15:50:10,15:50:18,0:00:08,0:00:08,8,0,0,Hospital,4_109_1693,4_109_1691,1,2,4_109_1691,15:50:10,15:50:18,,,,,,,,,0:00:08,FALSE,,0,,,,0:00:08,,,TRUE
8/4/20,4,109,GA 16.4,Alex K ,M,15:37:11,16:19:24,4_109_1693,Off-Screen,15:50:18,15:57:45,0:07:27,0:07:27,447,0,0,Off-Screen,4_109_1694,,0,,,,,,,,,,,,,0:00:00,FALSE,,0,,,,0:07:27,,,TRUE
8/4/20,4,109,GA 16.4,Alex K ,M,15:37:11,16:19:24,4_109_1694,In Transit,15:57:45,15:58:01,0:00:16,0:00:16,16,0,0,Hospital,4_109_1696,4_109_1695,1,2,4_109_1695,15:57:47,15:58:01,,,,,,,,,0:00:14,FALSE,,0,,,,0:00:16,,,TRUE
8/4/20,4,109,GA 16.4,Alex K ,M,15:37:11,16:19:24,4_109_1695,Professional Communication,15:57:47,15:58:01,0:00:14,0:00:14,14,Doctor(s),Med Chart,Hospital,4_109_1696,4_109_1694,1,2,4_109_1694,15:57:47,15:58:01,,,,,,,,,0:00:14,FALSE,,0,,,,0:00:14,,,TRUE
