session date,observer_id,session id,location id,participant_id,Gender,session start,session end,observer/session/task id,What,start time,end time,elapsed time,total_time,total_time(fixed_sec),Who,How,Where,ended by,multi with,num_of_multitask_fragments,num_of_tasks_in_multi_1,multi task id 1,multi start 1,multi end 1,num of tasks in multi 2,multi task id 2,multi start 2,multi end 2,num of tasks in multi 3,multi task id 3,multi start 3,multi end 3,total overlapping time,is interrupting task?,interrupted by,num_of_interrupts,int task id 1,int start 1,int end 1,active 1,active 2,inactive 1,is session complete?
7/12/20,5,78,Episode 7,Alex 3,M,23:51:37,0:32:38,5_78_1375,Off-Screen,23:58:48,0:04:04,23:54:44,23:54:44,86084,0,0,Off-Screen,5_78_1376,,0,,,,,,,,,,,,,0:00:00,FALSE,,0,,,,23:54:44,,,TRUE
7/12/20,5,78,Episode 7,Alex 3,M,23:51:37,0:32:38,5_78_1385,Off-Screen,0:15:02,0:21:55,0:06:53,0:06:53,413,0,0,Off-Screen,5_78_1386,,0,,,,,,,,,,,,,0:00:00,FALSE,,0,,,,0:06:53,,,TRUE
7/12/20,5,78,Episode 7,Alex 3,M,23:51:37,0:32:38,5_78_1381,Off-Screen,0:09:24,0:13:42,0:04:18,0:04:18,258,0,0,Off-Screen,5_78_1382,,0,,,,,,,,,,,,,0:00:00,FALSE,,0,,,,0:04:18,,,TRUE
7/12/20,5,78,Episode 7,Alex 3,M,23:51:37,0:32:38,5_78_1378,Off-Screen,0:04:28,0:08:03,0:03:35,0:03:35,215,0,0,Off-Screen,5_78_1379,,0,,,,,,,,,,,,,0:00:00,FALSE,,0,,,,0:03:35,,,TRUE
7/12/20,5,78,Episode 7,Alex 3,M,23:51:37,0:32:38,5_78_1397,Off-Screen,0:29:04,0:31:19,0:02:15,0:02:15,135,0,0,Off-Screen,5_78_1398,,0,,,,,,,,,,,,,0:00:00,FALSE,,0,,,,0:02:15,,,TRUE
7/12/20,5,78,Episode 7,Alex 3,M,23:51:37,0:32:38,5_78_1360,Off-Screen,23:51:37,23:53:50,0:02:13,0:02:13,133,0,0,Off-Screen,5_78_1361,,0,,,,,,,,,,,,,0:00:00,FALSE,,0,,,,0:02:13,,,TRUE
7/12/20,5,78,Episode 7,Alex 3,M,23:51:37,0:32:38,5_78_1394,Off-Screen,0:26:38,0:28:46,0:02:08,0:02:08,128,0,0,Off-Screen,5_78_1395,,0,,,,,,,,,,,,,0:00:00,FALSE,,0,,,,0:02:08,,,TRUE
7/12/20,5,78,Episode 7,Alex 3,M,23:51:37,0:32:38,5_78_1368,Off-Screen,23:55:17,23:57:15,0:01:58,0:01:58,118,0,0,Off-Screen,5_78_1369,,0,,,,,,,,,,,,,0:00:00,FALSE,,0,,,,0:01:58,,,TRUE
7/12/20,5,78,Episode 7,Alex 3,M,23:51:37,0:32:38,5_78_1388,Off-Screen,0:22:12,0:23:45,0:01:33,0:01:33,93,0,0,Off-Screen,5_78_1389,,0,,,,,,,,,,,,,0:00:00,FALSE,,0,,,,0:01:33,,,TRUE
7/12/20,5,78,Episode 7,Alex 3,M,23:51:37,0:32:38,5_78_1391,Off-Screen,0:24:25,0:25:47,0:01:22,0:01:22,82,0,0,Off-Screen,5_78_1392,,0,,,,,,,,,,,,,0:00:00,FALSE,,0,,,,0:01:22,,,TRUE
7/12/20,5,78,Episode 7,Alex 3,M,23:51:37,0:32:38,5_78_1380,Direct Care,0:08:08,0:09:24,0:01:16,0:01:16,76,Patient,Talking,ICU,5_78_1381,5_78_1379,1,2,5_78_1379,0:08:08,0:08:15,,,,,,,,,0:00:07,FALSE,,0,,,,0:01:16,,,TRUE
7/12/20,5,78,Episode 7,Alex 3,M,23:51:37,0:32:38,5_78_1399,Off-Screen,0:31:30,0:32:38,0:01:08,0:01:08,68,0,0,Off-Screen,user,,0,,,,,,,,,,,,,0:00:00,FALSE,,0,,,,0:01:08,,,TRUE
7/12/20,5,78,Episode 7,Alex 3,M,23:51:37,0:32:38,5_78_1373,Direct Care,23:57:54,23:58:48,0:00:54,0:00:54,54,Patient,Talking,ICU,5_78_1375,5_78_1374,1,2,5_78_1374,23:58:02,23:58:27,,,,,,,,,0:00:25,FALSE,,0,,,,0:00:54,,,TRUE
7/12/20,5,78,Episode 7,Alex 3,M,23:51:37,0:32:38,5_78_1392,Professional Communication,0:25:47,0:26:38,0:00:51,0:00:51,51,Doctor(s),Talking,ICU,5_78_1394,5_78_1393,1,2,5_78_1393,0:25:49,0:26:38,,,,,,,,,0:00:49,FALSE,,0,,,,0:00:51,,,TRUE
7/12/20,5,78,Episode 7,Alex 3,M,23:51:37,0:32:38,5_78_1393,Direct Care,0:25:49,0:26:38,0:00:49,0:00:49,49,0,0,ICU,5_78_1394,5_78_1392,1,2,5_78_1392,0:25:49,0:26:38,,,,,,,,,0:00:49,FALSE,,0,,,,0:00:49,,,TRUE
7/12/20,5,78,Episode 7,Alex 3,M,23:51:37,0:32:38,5_78_1382,Social,0:13:42,0:14:22,0:00:40,0:00:40,40,Doctor(s),Talking,Hospital,5_78_1383,,0,,,,,,,,,,,,,0:00:00,FALSE,,0,,,,0:00:40,,,TRUE
7/12/20,5,78,Episode 7,Alex 3,M,23:51:37,0:32:38,5_78_1389,Direct Care,0:23:45,0:24:25,0:00:40,0:00:40,40,Patient,Talking,ICU,5_78_1391,5_78_1390,1,2,5_78_1390,0:23:50,0:24:00,,,,,,,,,0:00:10,FALSE,,0,,,,0:00:40,,,TRUE
7/12/20,5,78,Episode 7,Alex 3,M,23:51:37,0:32:38,5_78_1384,Direct Care,0:14:27,0:15:02,0:00:35,0:00:35,35,Patient,Talking,ICU,5_78_1385,,0,,,,,,,,,,,,,0:00:00,FALSE,,0,,,,0:00:35,,,TRUE
7/12/20,5,78,Episode 7,Alex 3,M,23:51:37,0:32:38,5_78_1369,Direct Care,23:57:15,23:57:46,0:00:31,0:00:31,31,Patient,Talking,Hospital,5_78_1372,"5_78_1370,5_78_1371",2,2,5_78_1370,23:57:30,23:57:38,2,5_78_1371,23:57:38,23:57:46,,,,,0:00:16,FALSE,,0,,,,0:00:31,,,TRUE
7/12/20,5,78,Episode 7,Alex 3,M,23:51:37,0:32:38,5_78_1365,Off-Screen,23:54:29,23:54:54,0:00:25,0:00:25,25,0,0,Off-Screen,5_78_1366,,0,,,,,,,,,,,,,0:00:00,FALSE,,0,,,,0:00:25,,,TRUE
7/12/20,5,78,Episode 7,Alex 3,M,23:51:37,0:32:38,5_78_1374,Professional Communication,23:58:02,23:58:27,0:00:25,0:00:25,25,Doctor(s),Talking,ICU,user,5_78_1373,1,2,5_78_1373,23:58:02,23:58:27,,,,,,,,,0:00:25,FALSE,,0,,,,0:00:25,,,TRUE
7/12/20,5,78,Episode 7,Alex 3,M,23:51:37,0:32:38,5_78_1366,In Transit,23:54:54,23:55:17,0:00:23,0:00:23,23,0,0,Hospital,5_78_1368,5_78_1367,1,2,5_78_1367,23:54:58,23:55:17,,,,,,,,,0:00:19,FALSE,,0,,,,0:00:23,,,TRUE
7/12/20,5,78,Episode 7,Alex 3,M,23:51:37,0:32:38,5_78_1377,Professional Communication,0:04:08,0:04:28,0:00:20,0:00:20,20,Doctor(s),Talking,ICU,5_78_1378,5_78_1376,1,2,5_78_1376,0:04:08,0:04:19,,,,,,,,,0:00:11,FALSE,,0,,,,0:00:20,,,TRUE
7/12/20,5,78,Episode 7,Alex 3,M,23:51:37,0:32:38,5_78_1364,Social,23:54:10,23:54:29,0:00:19,0:00:19,19,Doctor(s),Talking,Hospital,5_78_1365,,0,,,,,,,,,,,,,0:00:00,FALSE,,0,,,,0:00:19,,,TRUE
7/12/20,5,78,Episode 7,Alex 3,M,23:51:37,0:32:38,5_78_1367,Professional Communication,23:54:58,23:55:17,0:00:19,0:00:19,19,Doctor(s),Talking,Hospital,5_78_1368,5_78_1366,1,2,5_78_1366,23:54:58,23:55:17,,,,,,,,,0:00:19,FALSE,,0,,,,0:00:19,,,TRUE
7/12/20,5,78,Episode 7,Alex 3,M,23:51:37,0:32:38,5_78_1395,Direct Care,0:28:46,0:29:04,0:00:18,0:00:18,18,0,0,ICU,5_78_1397,5_78_1396,1,2,5_78_1396,0:28:52,0:29:04,,,,,,,,,0:00:12,FALSE,,0,,,,0:00:18,,,TRUE
7/12/20,5,78,Episode 7,Alex 3,M,23:51:37,0:32:38,5_78_1386,Professional Communication,0:21:55,0:22:12,0:00:17,0:00:17,17,Doctor(s),Talking,ICU,5_78_1388,5_78_1387,1,2,5_78_1387,0:22:04,0:22:12,,,,,,,,,0:00:08,FALSE,,0,,,,0:00:17,,,TRUE
7/12/20,5,78,Episode 7,Alex 3,M,23:51:37,0:32:38,5_78_1361,Social,23:53:50,23:54:06,0:00:16,0:00:16,16,Doctor(s),Talking,Hospital,5_78_1363,5_78_1362,1,2,5_78_1362,23:53:57,23:54:06,,,,,,,,,0:00:09,FALSE,,0,,,,0:00:16,,,TRUE
7/12/20,5,78,Episode 7,Alex 3,M,23:51:37,0:32:38,5_78_1376,Education,0:04:04,0:04:19,0:00:15,0:00:15,15,Doctor(s),Talking,ICU,user,5_78_1377,1,2,5_78_1377,0:04:08,0:04:19,,,,,,,,,0:00:11,FALSE,,0,,,,0:00:15,,,TRUE
7/12/20,5,78,Episode 7,Alex 3,M,23:51:37,0:32:38,5_78_1379,In Transit,0:08:03,0:08:15,0:00:12,0:00:12,12,0,0,ICU,user,5_78_1380,1,2,5_78_1380,0:08:08,0:08:15,,,,,,,,,0:00:07,FALSE,,0,,,,0:00:12,,,TRUE
7/12/20,5,78,Episode 7,Alex 3,M,23:51:37,0:32:38,5_78_1396,Professional Communication,0:28:52,0:29:04,0:00:12,0:00:12,12,Doctor(s),Talking,ICU,5_78_1397,5_78_1395,1,2,5_78_1395,0:28:52,0:29:04,,,,,,,,,0:00:12,FALSE,,0,,,,0:00:12,,,TRUE
7/12/20,5,78,Episode 7,Alex 3,M,23:51:37,0:32:38,5_78_1398,Nothing Happening,0:31:19,0:31:30,0:00:11,0:00:11,11,0,0,Nothing Happening,5_78_1399,,0,,,,,,,,,,,,,0:00:00,FALSE,,0,,,,0:00:11,,,TRUE
7/12/20,5,78,Episode 7,Alex 3,M,23:51:37,0:32:38,5_78_1390,Direct Care,0:23:50,0:24:00,0:00:10,0:00:10,10,0,Med Chart,ICU,user,5_78_1389,1,2,5_78_1389,0:23:50,0:24:00,,,,,,,,,0:00:10,FALSE,,0,,,,0:00:10,,,TRUE
7/12/20,5,78,Episode 7,Alex 3,M,23:51:37,0:32:38,5_78_1362,In Transit,23:53:57,23:54:06,0:00:09,0:00:09,9,0,0,Hospital,5_78_1363,5_78_1361,1,2,5_78_1361,23:53:57,23:54:06,,,,,,,,,0:00:09,FALSE,,0,,,,0:00:09,,,TRUE
7/12/20,5,78,Episode 7,Alex 3,M,23:51:37,0:32:38,5_78_1370,Professional Communication,23:57:30,23:57:38,0:00:08,0:00:08,8,Doctor(s),Talking,Hospital,user,5_78_1369,1,2,5_78_1369,23:57:30,23:57:38,,,,,,,,,0:00:08,FALSE,,0,,,,0:00:08,,,TRUE
7/12/20,5,78,Episode 7,Alex 3,M,23:51:37,0:32:38,5_78_1371,In Transit,23:57:38,23:57:46,0:00:08,0:00:08,8,0,0,Hospital,5_78_1372,5_78_1369,1,2,5_78_1369,23:57:38,23:57:46,,,,,,,,,0:00:08,FALSE,,0,,,,0:00:08,,,TRUE
7/12/20,5,78,Episode 7,Alex 3,M,23:51:37,0:32:38,5_78_1372,Off-Screen,23:57:46,23:57:54,0:00:08,0:00:08,8,0,0,Off-Screen,5_78_1373,,0,,,,,,,,,,,,,0:00:00,FALSE,,0,,,,0:00:08,,,TRUE
7/12/20,5,78,Episode 7,Alex 3,M,23:51:37,0:32:38,5_78_1387,In Transit,0:22:04,0:22:12,0:00:08,0:00:08,8,0,0,ICU,5_78_1388,5_78_1386,1,2,5_78_1386,0:22:04,0:22:12,,,,,,,,,0:00:08,FALSE,,0,,,,0:00:08,,,TRUE
7/12/20,5,78,Episode 7,Alex 3,M,23:51:37,0:32:38,5_78_1383,Off-Screen,0:14:22,0:14:27,0:00:05,0:00:05,5,0,0,Off-Screen,5_78_1384,,0,,,,,,,,,,,,,0:00:00,FALSE,,0,,,,0:00:05,,,TRUE
7/12/20,5,78,Episode 7,Alex 3,M,23:51:37,0:32:38,5_78_1363,Off-Screen,23:54:06,23:54:10,0:00:04,0:00:04,4,0,0,Off-Screen,5_78_1364,,0,,,,,,,,,,,,,0:00:00,FALSE,,0,,,,0:00:04,,,TRUE
8/18/20,4,133,GA 1.7,Alex K ,M,10:40:15,11:21:18,4_133_2283,Off-Screen,11:03:41,11:10:32,0:06:51,0:06:51,411,0,0,Off-Screen,4_133_2284,,0,,,,,,,,,,,,,0:00:00,FALSE,,0,,,,0:06:51,,,TRUE
8/18/20,4,133,GA 1.7,Alex K ,M,10:40:15,11:21:18,4_133_2272,Off-Screen,10:47:27,10:52:44,0:05:17,0:05:17,317,0,0,Off-Screen,4_133_2273,,0,,,,,,,,,,,,,0:00:00,FALSE,,0,,,,0:05:17,,,TRUE
8/18/20,4,133,GA 1.7,Alex K ,M,10:40:15,11:21:18,4_133_2277,Off-Screen,10:58:03,11:02:22,0:04:19,0:04:19,259,0,0,Off-Screen,4_133_2278,,0,,,,,,,,,,,,,0:00:00,FALSE,,0,,,,0:04:19,,,TRUE
8/18/20,4,133,GA 1.7,Alex K ,M,10:40:15,11:21:18,4_133_2274,Off-Screen,10:53:08,10:56:42,0:03:34,0:03:34,214,0,0,Off-Screen,4_133_2275,,0,,,,,,,,,,,,,0:00:00,FALSE,,0,,,,0:03:34,,,TRUE
8/18/20,4,133,GA 1.7,Alex K ,M,10:40:15,11:21:18,4_133_2295,Off-Screen,11:17:42,11:19:57,0:02:15,0:02:15,135,0,0,Off-Screen,4_133_2296,,0,,,,,,,,,,,,,0:00:00,FALSE,,0,,,,0:02:15,,,TRUE
8/18/20,4,133,GA 1.7,Alex K ,M,10:40:15,11:21:18,4_133_2255,Off-Screen,10:40:15,10:42:28,0:02:13,0:02:13,133,0,0,Off-Screen,4_133_2256,,0,,,,,,,,,,,,,0:00:00,FALSE,,0,,,,0:02:13,,,TRUE
8/18/20,4,133,GA 1.7,Alex K ,M,10:40:15,11:21:18,4_133_2266,Off-Screen,10:43:39,10:45:52,0:02:13,0:02:13,133,0,0,Off-Screen,4_133_2267,,0,,,,,,,,,,,,,0:00:00,FALSE,,0,,,,0:02:13,,,TRUE
8/18/20,4,133,GA 1.7,Alex K ,M,10:40:15,11:21:18,4_133_2292,Off-Screen,11:15:18,11:17:26,0:02:08,0:02:08,128,0,0,Off-Screen,4_133_2293,,0,,,,,,,,,,,,,0:00:00,FALSE,,0,,,,0:02:08,,,TRUE
8/18/20,4,133,GA 1.7,Alex K ,M,10:40:15,11:21:18,4_133_2287,Off-Screen,11:10:54,11:12:24,0:01:30,0:01:30,90,0,0,Off-Screen,4_133_2288,,0,,,,,,,,,,,,,0:00:00,FALSE,,0,,,,0:01:30,,,TRUE
8/18/20,4,133,GA 1.7,Alex K ,M,10:40:15,11:21:18,4_133_2289,Off-Screen,11:13:07,11:14:27,0:01:20,0:01:20,80,0,0,Off-Screen,4_133_2290,,0,,,,,,,,,,,,,0:00:00,FALSE,,0,,,,0:01:20,,,TRUE
8/18/20,4,133,GA 1.7,Alex K ,M,10:40:15,11:21:18,4_133_2276,Direct Care,10:56:47,10:58:03,0:01:16,0:01:16,76,Patient,Talking,ICU,4_133_2277,,0,,,,,,,,,,,,,0:00:00,FALSE,,0,,,,0:01:16,,,TRUE
8/18/20,4,133,GA 1.7,Alex K ,M,10:40:15,11:21:18,4_133_2297,Off-Screen,11:20:09,11:21:18,0:01:09,0:01:09,69,0,0,Off-Screen,session,,0,,,,,,,,,,,,,0:00:00,FALSE,,0,,,,0:01:09,,,TRUE
8/18/20,4,133,GA 1.7,Alex K ,M,10:40:15,11:21:18,4_133_2271,Direct Care,10:46:34,10:47:27,0:00:53,0:00:53,53,Patient,Talking,ICU,4_133_2272,,0,,,,,,,,,,,,,0:00:00,FALSE,,0,,,,0:00:53,,,TRUE
8/18/20,4,133,GA 1.7,Alex K ,M,10:40:15,11:21:18,4_133_2290,Professional Communication,11:14:27,11:15:18,0:00:51,0:00:51,51,Doctor(s),Talking,ICU,4_133_2292,4_133_2291,1,2,4_133_2291,11:14:29,11:15:18,,,,,,,,,0:00:49,FALSE,,0,,,,0:00:51,,,TRUE
8/18/20,4,133,GA 1.7,Alex K ,M,10:40:15,11:21:18,4_133_2291,Direct Care,11:14:29,11:15:18,0:00:49,0:00:49,49,Patient,0,ICU,4_133_2292,4_133_2290,1,2,4_133_2290,11:14:29,11:15:18,,,,,,,,,0:00:49,FALSE,,0,,,,0:00:49,,,TRUE
8/18/20,4,133,GA 1.7,Alex K ,M,10:40:15,11:21:18,4_133_2288,Direct Care,11:12:24,11:13:07,0:00:43,0:00:43,43,Patient,Talking,ICU,4_133_2289,,0,,,,,,,,,,,,,0:00:00,FALSE,,0,,,,0:00:43,,,TRUE
8/18/20,4,133,GA 1.7,Alex K ,M,10:40:15,11:21:18,4_133_2282,Direct Care,11:03:08,11:03:41,0:00:33,0:00:33,33,Patient,Talking,ICU,4_133_2283,,0,,,,,,,,,,,,,0:00:00,FALSE,,0,,,,0:00:33,,,TRUE
