session_date,observer_id,session_id,location_id,participant_id,Gender,session_start,session_end,observer_session_task id,What,start_time,end_time,elapsed_time,total_time,total_time(fixed_sec),Who,How,How_(subcategories),Where,ended_by,multi_with,num_of_multitask_fragments,num_of_tasks_in_multi_1,multi_task_id_1,multi_start_1,multi_end_1,num_of_tasks_in_multi_2,multi_task_id_2,multi_start_2,multi_end_2,num_of_tasks_in_multi_3,multi_task_id_3,multi_start_3,multi_end_3,num_of_tasks_in_multi_4,multi_task_id_4,multi_start_4,multi_end_4,total_overlapping_time,is_interrupting_task?,interrupted_by,num_of_interrupts,int_task_id_1,int_start_1,int_end_1,active_1,active_2,inactive_1,is_session_complete?
22-Jul-21,10040,10342,Season 8 Episode 1 ,Bob Kelso,M,0:10:57,0:33:40,10040_10342_1,Off-Screen,0:10:57,0:20:52,0:09:55,0:09:55,595,0,0,Off-Screen,10040_10342_2,,0,,,,,,,,,0:00:00,FALSE,,0,,,,,,,0:09:55,,,,,TRUE,,,,
22-Jul-21,10040,10342,Season 8 Episode 1 ,Bob Kelso,M,0:10:57,0:33:40,10040_10342_2,Social,0:20:52,0:21:12,0:00:20,0:00:20,20,Other,Talking,Hospital,10040_10342_3,,0,,,,,,,,,0:00:00,FALSE,,0,,,,,,,0:00:20,,,,,TRUE,,,,
22-Jul-21,10040,10342,Season 8 Episode 1 ,Bob Kelso,M,0:10:57,0:33:40,10040_10342_3,Off-Screen,0:21:12,0:21:36,0:00:24,0:00:24,24,0,0,Off-Screen,10040_10342_4,,0,,,,,,,,,0:00:00,FALSE,,0,,,,,,,0:00:24,,,,,TRUE,,,,
22-Jul-21,10040,10342,Season 8 Episode 1 ,Bob Kelso,M,0:10:57,0:33:40,10040_10342_4,Social,0:21:36,0:21:47,0:00:11,0:00:11,11,Other,Talking,Hospital,10040_10342_5,,0,,,,,,,,,0:00:00,FALSE,,0,,,,,,,0:00:11,,,,,TRUE,,,,
22-Jul-21,10040,10342,Season 8 Episode 1 ,Bob Kelso,M,0:10:57,0:33:40,10040_10342_5,Off-Screen,0:21:47,0:33:40,0:11:53,0:11:53,713,0,0,Off-Screen,user,,0,,,,,,,,,0:00:00,FALSE,,0,,,,,,,0:11:53,,,,,TRUE,,,,
31-Jul-21,10040,10381,Season 8 Episode 10,Bob Kelso,M,23:58:14,0:21:35,10040_10381_1,Off-Screen,23:58:14,0:00:44,23:57:30,23:57:30,86250,0,0,Off-Screen,10040_10381_2,,0,,,,,,,,,0:00:00,FALSE,,0,,,,,,,23:57:30,,,,,TRUE,,,,
31-Jul-21,10040,10381,Season 8 Episode 10,Bob Kelso,M,23:58:14,0:21:35,10040_10381_2,Social,0:00:44,0:00:48,0:00:04,0:00:04,4,Nurse,Talking,Hospital,10040_10381_3,,0,,,,,,,,,0:00:00,FALSE,,0,,,,,,,0:00:04,,,,,TRUE,,,,
31-Jul-21,10040,10381,Season 8 Episode 10,Bob Kelso,M,23:58:14,0:21:35,10040_10381_3,Off-Screen,0:00:48,0:10:19,0:09:31,0:09:31,571,0,0,Off-Screen,10040_10381_4,,0,,,,,,,,,0:00:00,FALSE,,0,,,,,,,0:09:31,,,,,TRUE,,,,
31-Jul-21,10040,10381,Season 8 Episode 10,Bob Kelso,M,23:58:14,0:21:35,10040_10381_4,Nothing Happening,0:10:19,0:10:24,0:00:05,0:00:05,5,0,0,Nothing Happening,10040_10381_5,,0,,,,,,,,,0:00:00,FALSE,,0,,,,,,,0:00:05,,,,,TRUE,,,,
31-Jul-21,10040,10381,Season 8 Episode 10,Bob Kelso,M,23:58:14,0:21:35,10040_10381_5,Social,0:10:24,0:10:27,0:00:03,0:00:03,3,Other,Talking,Hospital,10040_10381_6,,0,,,,,,,,,0:00:00,FALSE,,0,,,,,,,0:00:03,,,,,TRUE,,,,
