session_date,observer_id,session_id,location _d,participant_id,Gender,session_start,session_end,observer/session/task id,What,start_time,end_time,elapsed_time,total_time,total_time(fixed_sec),Who,How,Where,ended by,multi_with,num_of_multitask_fragments,num_of_tasks_in_multi_1,multi_task_id_1,multi_start_1,multi_end_1,num_of_tasks_in_multi_2,multi_task_id_2,multi_start_2,multi_end_2,total_overlapping_time,is_interrupting_task?,interrupted_by,num_of_interrupts,int_task_id_1,int_start_1,int_end_1,int_task_id_2,int_start_2,int_end_2,active_1,active_2,active_3,inactive_1,inactive_2,is_session_complete?
30-Jun-21,10040,10220,Season 1 Episode 15,Bob Kelso,M,1:02:17,1:30:18,10040_10220_4,Off-Screen,1:07:31,1:16:19,0:08:48,0:08:48,528,0,0,Off-Screen,10040_10220_5,,0,,,,,,,,,0:00:00,FALSE,,0,,,,,,,0:08:48,,,,,TRUE
3-Jun-21,10020,10086,S1E15,Bob Kelso,M,12:44:51,13:12:48,10020_10086_6,Off-Screen,12:49:57,12:58:44,0:08:47,0:08:47,527,0,0,Off-Screen,10020_10086_7,,0,,,,,,,,,0:00:00,FALSE,,0,,,,,,,0:08:47,,,,,TRUE
31-May-21,10020,10064,S1E6,Bob Kelso,M,13:27:10,13:48:37,10020_10064_12,Off-Screen,13:34:23,13:42:58,0:08:35,0:08:35,515,0,0,Off-Screen,10020_10064_13,,0,,,,,,,,,0:00:00,FALSE,,0,,,,,,,0:08:35,,,,,TRUE
31-May-21,10020,10046,S1E6,Bob Kelso,M,13:27:10,13:48:37,10020_10046_12,Off-Screen,13:34:23,13:42:58,0:08:35,0:08:35,515,0,0,Off-Screen,10020_10046_13,,0,,,,,,,,,0:00:00,FALSE,,0,,,,,,,0:08:35,,,,,TRUE
17-Jun-21,10040,10120,Season 1 Episode 6,Bob Kelso,M,0:48:13,1:10:16,10040_10120_12,Off-Screen,0:56:03,1:04:37,0:08:34,0:08:34,514,0,0,Off-Screen,10040_10120_13,,0,,,,,,,,,0:00:00,FALSE,,0,,,,,,,0:08:34,,,,,TRUE
19-Jun-21,10040,10141,Season 1 Episode 7,Bob Kelso,M,22:54:43,23:16:50,10040_10141_14,Off-Screen,23:08:09,23:16:23,0:08:14,0:08:14,494,0,0,Off-Screen,10040_10141_15,,0,,,,,,,,,0:00:00,FALSE,,0,,,,,,,0:08:14,,,,,TRUE
31-May-21,10020,10045,S1E7,Bob Kelso,M,17:45:53,18:07:02,10020_10045_15,Off-Screen,17:58:21,18:06:22,0:08:01,0:08:01,481,0,0,Off-Screen,10020_10045_16,,0,,,,,,,,,0:00:00,FALSE,,0,,,,,,,0:08:01,,,,,TRUE
31-May-21,10020,10063,S1E7,Bob Kelso,M,17:45:53,18:07:02,10020_10063_15,Off-Screen,17:58:21,18:06:22,0:08:01,0:08:01,481,0,0,Off-Screen,10020_10063_16,,0,,,,,,,,,0:00:00,FALSE,,0,,,,,,,0:08:01,,,,,TRUE
3-Jun-21,10020,10086,S1E15,Bob Kelso,M,12:44:51,13:12:48,10020_10086_10,Off-Screen,13:06:08,13:12:48,0:06:40,0:06:40,400,0,0,Off-Screen,session,,0,,,,,,,,,0:00:00,FALSE,,0,,,,,,,0:06:40,,,,,TRUE
30-Jun-21,10040,10220,Season 1 Episode 15,Bob Kelso,M,1:02:17,1:30:18,10040_10220_8,Off-Screen,1:23:43,1:30:18,0:06:35,0:06:35,395,0,0,Off-Screen,user,,0,,,,,,,,,0:00:00,FALSE,,0,,,,,,,0:06:35,,,,,TRUE
